Shopping Mall Name,Location,Address,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,Postal,Latitude,Longitude
JCube,"Jurong East, Singapore",2 JURONG EAST CENTRAL 1 JCUBE SINGAPORE 609731,2 April 2012; 8 years ago,,CapitaMalls Asia,CapitaMall Trust,154,6,, EW24  NS1  JE5  Jurong East,,JCube,609731,1.333306338,103.7403024
Jem,"Jurong East, Singapore",52 JURONG GATEWAY ROAD JEM SINGAPORE 608550,15 June 2013; 7 years ago,,Lendlease,Lendlease,241,9,, EW24  JE5  NS1  Jurong East,,www.jem.sg,608549,1.33255233,103.7432622
Westgate,"Jurong East, Singapore",3 GATEWAY DRIVE WESTGATE SINGAPORE 608532,2 December 2013; 6 years ago[1],,CapitaMalls Asia,CapitaMalls Asia,196[2],7,, EW24  NS1  JE5  Jurong East,,westgate.com.sg/en,608531,1.334562981,103.7429486
Jurong Point,"Jurong West Central, Jurong West, Singapore",1 JURONG WEST CENTRAL 2 JURONG POINT SINGAPORE 648886,Dec-95,Prime Point Realty Development Private Limited,,Mercatus Co-operative Limited,450,9,, EW27  JS8  Boon Lay,,jurongpoint.com.sg,648886,1.339452004,103.706685
Pioneer Mall,,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,,,,,,,,,,,640638,1.34172919,103.6972237
The Star Vista,,1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617,,,,,,,,,,,138617,1.30697044,103.7884203
Anchorpoint,,368 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159952,,,,,,,,,,,159952,1.28893478,103.8056078
Gek Poh Shopping Centre,,763 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640763,,,,,,,,,,,640763,1.348744003,103.6982988
Taman Jurong Shopping Centre,,399 YUNG SHENG ROAD TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399,,,,,,,,,,,610399,1.334844875,103.720462
West Coast Plaza,Singapore,154 WEST COAST ROAD WEST COAST PLAZA SINGAPORE 127371,"1992 (Ginza Plaza)
2008 (West Coast Plaza)",,,Far East Organization,68,3 (including a ground floor),,,,www.westcoastplaza.com.sg,127371,1.303742583,103.7660929
