Shopping Mall Name,Location,Address,Latitude,Longitude,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,SearchVal,Postal
Sembawang Shopping Centre,"Sembawang, Singapore",604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,1.4418532530000001,103.8248324,1997,CapitaLand Mall Trust,Knight Frank,Lian Beng-Apricot Sembawang,,3 with 4 Basements (1 retail Basement),,"Service(s) 167/167e, 856, 858, 859, 980 (SMRT Buses)[1]",,www.sembawangsc.com.sg,SEMBAWANG SHOPPING CENTRE,758459
Sun Plaza,"Sembawang, Singapore",30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,1.4482265380000001,103.8194621,May 2000; 20 years ago,Canberra Development Pte Ltd,Koh Brothers Group and Heeton Holdings,Koh Brothers Group and Heeton Holdings,91,14 [12 floors (6 retail + 7 residential) + 2 basements],, NS11  Sembawang,,Sun Plaza,SUN PLAZA,757713
Waterway Point,"Punggol, Singapore",83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761,1.4064261630000001,103.90223809999999,18 January 2016; 4 years ago,"Frasers Property
Far East Organization
Sekisui House",Frasers Centrepoint Malls,Frasers Centrepoint Malls,203,4[1],," NE17  PTC  CP4  Punggol
Punggol",,Waterway Point,WATERWAY POINT,828761
Compass One,"Compassvale, Sengkang, Singapore",1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,1.392094156,103.89498,"1 August 2002; 18 years ago (as Compass Point)
1 September 2016; 4 years ago (as Compass One)",Frasers Centrepoint,M&G Real Estate,M&G Real Estate,208,8 floors,," NE16  STC  Sengkang
Sengkang
Compassvale",,www.compassone.sg,COMPASS ONE,545078
Hougang Mall,"90 Hougang Avenue 10, Singapore 538766",90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,1.3724367830000002,103.89372390000001,1997; 23 years ago,,AsiaMalls Management Pte Ltd,ARMF (Hougang Mall) Private Limited,134,7,, NE14  CR8  Hougang,,www.hougangmall.com.sg,HOUGANG MALL,538766
Heartland Mall,"205 Hougang Street 21, Singapore 530205",205 HOUGANG STREET 21 UOB HEARTLAND MALL SINGAPORE 530205,1.359544509,103.8851691,1984; 36 years ago,,,Housing and Development Board[1],,4,, NE13  Kovan,,,UOB HEARTLAND MALL,530205
NEX,"Serangoon New Town, Singapore",23 SERANGOON CENTRAL NEX SINGAPORE 556083,1.3506755209999999,103.87186159999999,25 November 2010; 9 years ago,,,,340,"7 (B2, B1, 1-4, 4R)",, NE12  CC13  Serangoon,,www.nex.com.sg,NEX,556083
Greenwich V,,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,1.3876033019999998,103.86942359999999,,,,,,,,,,,GREENWICH V,807011
myVillage @ Serangoon,,,,,,,,,,,,,,,-1,
Oasis Terraces,"681 Punggol Drive, Singapore 820681",681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,1.402634601,103.91327059999999,15 June 2018; 2 years ago[2],HDB,,HDB,,,," PE6  Oasis
50, 386, 386A, 591, 593, 666, G110, G194",,www.singhealth.com.sg/Pages/home.aspx,OASIS TERRACES,820681
Punggol Plaza,"Punggol, Singapore",168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,1.394184094,103.9129764,September 2004; 16 years ago,Housing and Development Board,Abundance Development Pte Ltd,Abundance Development Pte Ltd[1],50,6 (2 basement levels),," PE3  Coral Edge
3, 62, 83, 381, 386, 569, 591, 593, 666, 729, 744",,Punggol Plaza,PUNGGOL PLAZA,820168
The Seletar Mall,"Fernvale, Singapore",33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653,1.391393061,103.87606770000001,28 November 2014; 5 years ago[1],,The Seletar Mall Pte. Ltd,"SPH (70%)
United Engineers Limited (30%)",132,6,, SW5  Fernvale,,www.theseletarmall.com,THE SELETAR MALL,797653
Upper Serangoon Shopping Centre,,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,1.353480883,103.8788284,,,,,,,,,,,UPPER SERANGOON SHOPPING CENTRE,534626
Bukit Panjang Plaza,,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,1.379916507,103.7643171,,,,,,,,,,,BUKIT PANJANG PLAZA,677743
HillV2,,4 HILLVIEW RISE HILLV2 SINGAPORE 667979,1.363550958,103.76423609999999,,,,,,,,,,,HILLV2,667979
Junction 10,"1 Woodlands Road, Singapore 677899",1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899,1.380605125,103.7600416,"1998; 22 years ago (as Ten Mile Junction)
30 December 2011; 8 years ago (as Junction 10)",Far East Organization,Far East Retail,Far East Organization,More than 60,4,,,,Junction10,JUNCTION 10,677899
Limbang Shopping Centre,,534 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680534,1.392242406,103.74319100000001,,,,,,,,,,,LIMBANG SHOPPING CENTRE,680534
Lot One,"21 Choa Chu Kang Avenue 4, Singapore 689812",21 CHOA CHU KANG AVENUE 4 SHAW THEATRES LOT ONE SINGAPORE 689812,1.385069923,103.7452389,August 1996; 24 years ago,,,CapitaMall Trust,148,6,, NS4  JS1  BP1  Choa Chu Kang,,Lot One,SHAW THEATRES LOT ONE,689812
West Mall,"Bukit Batok, Singapore",1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713,1.3501891659999998,103.749022,1998; 22 years ago,,,,156,8,, NS2  Bukit Batok,,www.westmall.com.sg,WEST MALL,658713
