Station Code,Station Status,Station Address,Opening Date,Planning Area,Connection(s)
DT18,Operating,Telok Ayer MRT Station,22-Dec-13,"Downtown Core, Outram",
CC28,Operating,Telok Blangah MRT Station,8-Oct-11,Bukit Merah,
JS3,Future,Tengah MRT Station,2026,Tengah,Tengah Bus Interchange
JE2,Future,Tengah Park MRT Station,2027,"Bukit Batok, Tengah",
JE1,Future,Tengah Plantation MRT Station,2027,Tengah,
EW17,Operating,Tiong Bahru MRT Station,12-Mar-88,Bukit Merah,
NS19,Operating,Toa Payoh MRT Station,7-Nov-87,Toa Payoh,Toa Payoh Bus Interchange
JE4,Future,Toh Guan MRT Station,2027,Jurong East,
EW31,Operating,Tuas Crescent MRT Station,18-Jun-17,Tuas,
EW33,Operating,Tuas Link MRT Station,18-Jun-17,Tuas,Tuas Bus Terminal
EW32,Operating,Tuas West Road MRT Station,18-Jun-17,Tuas,
JS10,Future,Tukang MRT Station,2028,Boon Lay,
DT27,Operating,Ubi MRT Station,21-Oct-17,Geylang,
DT34,Operating,Upper Changi MRT Station,21-Oct-17,Tampines,
TE8,Future,Upper Thomson MRT Station,2021,Bishan,
NS9,Operating,Woodlands MRT Station,10-Feb-96,Woodlands,Woodlands Temporary Bus Interchange
TE2,Operating,Woodlands MRT Station,10-Feb-96,Woodlands,Woodlands Temporary Bus Interchange
TE1,Operating,Woodlands North MRT Station,31-Jan-20,Woodlands,
RTS,Operating,Woodlands North MRT Station,31-Jan-20,Woodlands,
TE3,Operating,Woodlands South MRT Station,31-Jan-20,Woodlands,
NE11,Operating,Woodleigh MRT Station,20-Jun-11,Toa Payoh,Bidadari Bus Interchange
DT36,Future,Xilin MRT Station,2024,Tampines,
NS5,Operating,Yew Tee MRT Station,10-Feb-96,Choa Chu Kang,
NS15,Operating,Yio Chu Kang MRT Station,7-Nov-87,Ang Mo Kio,Yio Chu Kang Bus Interchange
NS13,Operating,Yishun MRT Station,20-Dec-88,Yishun,Yishun Bus Interchange
